samples,DIC,MAPE
100.0,-724.0671334491973,0.026957828921848337
200.0,-724.3802853268235,0.02707512875350919
300.0,-724.233796909079,0.026958758798713206
400.0,-724.4308884802078,0.02695407589972397
500.0,-724.496508858414,0.02691093841945646
600.0,-724.5233236833893,0.02688920103633279
700.0,-724.4541195964205,0.02687838195568492
800.0,-724.3504295224293,0.026893663465145136
900.0,-724.3569446842537,0.02686662066400566
1000.0,-724.2689906650725,0.02685902095511295
1100.0,-724.2014999578752,0.02684635790556856
1200.0,-724.1806341255917,0.02684201675553283
1300.0,-724.186826242869,0.026824671160141554
1400.0,-724.192469929437,0.02683136689316214
1500.0,-724.2188105113303,0.026827251169363388
1600.0,-724.1941322282161,0.026827656442511994
1700.0,-724.2330879176802,0.026844054210565134
1800.0,-724.212951780768,0.026838825251018376
1900.0,-724.2172004502039,0.026843219679491145
2000.0,-724.2322860702467,0.02683151061692102
2100.0,-724.1938294766655,0.026831818477864536
2200.0,-724.2091949103792,0.026832033082167583
2300.0,-724.2000992772494,0.026834060314487488
2400.0,-724.2324704550574,0.026839659931789734
2500.0,-724.2607230109809,0.026833123838006755
2600.0,-724.2630083554989,0.026835856015837767
2700.0,-724.2890018726384,0.026834597250353077
2800.0,-724.299897333811,0.026822413009822587
2900.0,-724.3261230331868,0.026828811745846202
3000.0,-724.328756230458,0.02682856378552244
3100.0,-724.3285977994444,0.026823936521662727
3200.0,-724.3164816638135,0.026829067037986237
3300.0,-724.3357477645798,0.026829920591306844
3400.0,-724.3435412029592,0.026818585053222474
3500.0,-724.3403336121901,0.026820571614806485
3600.0,-724.3425555538945,0.026820426047435283
3700.0,-724.3540424915686,0.026818545283317306
3800.0,-724.3675231678554,0.026811169682895583
3900.0,-724.3759191160224,0.026808151597175135
4000.0,-724.3681775924529,0.026810909322898962
